player 3 initial hand 2 8 5 4
player 3 draws a 1 from deck 3
player 3 discards a 2 to deck 4
player 3 current hand 8 5 4 1
player 3 draws a 3 from deck 3
player 3 discards a 8 to deck 4
player 3 current hand 5 4 1 3
player 3 draws a 8 from deck 3
player 3 discards a 5 to deck 4
player 3 current hand 4 1 3 8
player 3 draws a 7 from deck 3
player 3 discards a 4 to deck 4
player 3 current hand 1 3 8 7
player 3 draws a 1 from deck 3
player 3 discards a 3 to deck 4
player 3 current hand 1 8 7 1
player 3 draws a 7 from deck 3
player 3 discards a 8 to deck 4
player 3 current hand 1 7 1 7
player 3 draws a 3 from deck 3
player 3 discards a 7 to deck 4
player 3 current hand 1 1 7 3
player 3 draws a 3 from deck 3
player 3 discards a 7 to deck 4
player 3 current hand 1 1 3 3
player 3 draws a 8 from deck 3
player 3 discards a 3 to deck 4
player 3 current hand 1 1 3 8
player 3 draws a 4 from deck 3
player 3 discards a 3 to deck 4
player 3 current hand 1 1 8 4
player 3 draws a 6 from deck 3
player 3 discards a 8 to deck 4
player 3 current hand 1 1 4 6
player 3 draws a 6 from deck 3
player 3 discards a 4 to deck 4
player 3 current hand 1 1 6 6
player 3 draws a 3 from deck 3
player 3 discards a 6 to deck 4
player 3 current hand 1 1 6 3
player 1 has informed player 3 that player 1 has won
player 3 exits
player 3 hand: 1 1 6 3
