player 2 initial hand 4 4 8 6
player 2 draws a 3 from deck 2
player 2 discards a 8 to deck 3
player 2 current hand 4 4 6 3
player 2 draws a 5 from deck 2
player 2 discards a 6 to deck 3
player 2 current hand 4 4 3 5
player 2 draws a 2 from deck 2
player 2 discards a 3 to deck 3
player 2 current hand 4 4 5 2
player 2 draws a 5 from deck 2
player 2 discards a 5 to deck 3
player 2 current hand 4 4 2 5
player 2 draws a 4 from deck 2
player 2 discards a 2 to deck 3
player 2 current hand 4 4 5 4
player 2 draws a 7 from deck 2
player 2 discards a 5 to deck 3
player 2 current hand 4 4 4 7
player 2 draws a 1 from deck 2
player 2 discards a 7 to deck 3
player 2 current hand 4 4 4 1
player 2 draws a 6 from deck 2
player 2 discards a 1 to deck 3
player 2 current hand 4 4 4 6
player 2 draws a 3 from deck 2
player 2 discards a 6 to deck 3
player 2 current hand 4 4 4 3
player 2 draws a 2 from deck 2
player 2 discards a 3 to deck 3
player 2 current hand 4 4 4 2
player 3 has informed player 2 that player 3 has won
player 2 exits
player 2 hand: 4 4 4 2
